Issue;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;;;;;;;;
CheckMetadata;Energy;;;;;;;✅;;;;;; This inspection identifies cases where a simple cache mechanism can be added in the method onReceive of subclasses of android.content.BroadcastReceiver. In those cases, the source code is refactored so that changes in the    values retrieved from the intent parameter are checked before processing the information received.<br>;; Implement a simple caching mechanism in onReceive() of BroadcastReceiver to avoid redundant processing.;*.java, *.kt;Warning;CheckMetadata1.txt;CheckMetadata2.txt;;A developer is implementing a BroadcastReceiver that processes system events. In the onReceive() method, the app should process incoming intents and broadcast notifications ;;;;;;;;;;;;
CheckNetwork;Energy;No;;;;;;✅;;;;;;  This inspection identifies cases where a network connection exists before processing a request. This is only activated when subclasses of android.app.IntentService are used. <br>;; Ensure network availability before processing requests in IntentService.;*.java, *.kt;Warning;CheckNetwork1.txt;CheckNetwork2.txt;;A developer is creating an IntentService that needs to download data from a server. The service should  make network requests to obtain the data;;;;;;;;;;;;
DirtyRendering;Energy;Yes;;;;;;✅;;;;;;This inspection switches the rendering mode to <i>GLSurfaceView.RENDERMODE_WHEN_DIRTY;;Switch to lazy rendering using GLSurfaceView.RENDERMODE_WHEN_DIRTY.;*.java, *.kt;Warning;DirtyRendering1.txt;DirtyRendering2.txt;;A developer is implementing a custom OpenGL ES view for a game that displays relatively static content with occasional updates. ;;;;;;;;;;;;
ExcessiveLoopCallsDetector;Runtime;No;✅;;;;;;;;;;;Calling methods inside loops, either in the loop condition or in the body, is  usually a good optimization target;;Avoid method calls inside loops when possible by precomputing values outside the loop.;*.java, *.kt;Warning;ExcessiveLoopCallsDetector1.txt;ExcessiveLoopCallsDetector2.txt;;A developer is implementing a task scheduler that needs to repeatedly execute a method at fixed intervals. They create a Handler and post a Runnable that calls updateStatus() inside a loop,;;;;;;;;;;;;
NestedWeight;Runtime;Yes;;;✅;✅;;;;;;;✅;Layout weights require a widget to be measured twice. When a LinearLayout with non-zero weights is nested inside another LinearLayout with non-zero weights, then the number of measurements increase exponentially.;https://googlesamples.github.io/android-custom-lint-rules/checks/NestedWeights.md.html;Avoid nested LinearLayouts with weights by using ConstraintLayout or RelativeLayout instead.;*.xml;Warning;NestedWeight1.txt;NestedWeight2.txt;;"A developer is creating a complex layout for a messaging app interface. They use a LinearLayout with layout_weight to divide the screen between a ListView for messages (weight=""1"") and a bottom section for input. Within that bottom section, they create another LinearLayout with some more buttons.";;;;;;;;;;;;
ConfigChanges;;;;✅;✅;;;;;;;;;In Android applications, it is considered a code smell if attribute android:configChanges is defined in Manifest file. This phenomenon leads to memory leaks;;Avoid handling android:configChanges in the AndroidManifest.xml and instead handle config changes properly in onSaveInstanceState().;*.xml;Warning;ConfigChanges1.txt;ConfigChanges2.txt;;A developer is building an app that needs to maintain its UI state during screen rotations on its Activities.;;;;;;;;;;;;
DroppedData;Runtime;No;;;✅;;;;;;;;;on Android applications, the data filled by user in any Activity or fragment may be lost if the focused screen is interrupted. Data should be saved and restored using overridable methods on SaveInstanceState and on RestoreInstanceState;; Preserve user data using onSaveInstanceState() and onRestoreInstanceState().;*.java, *.kt;Warning;DroppedData1.txt;DroppedData2.txt;;A developer is creating a form for user registration within an activity. They need to implement input fields for name, email, and other details.;;;;;;;;;;;;
CollectionOfBitmaps;Memory;Yes;;;✅;;;;;;;;;The collection of bitmaps is a resource intensive process and should be avoided;;"Avoid loading multiple bitmaps in memory; use bitmap pooling or LruCache.";*.java, *.kt;Warning;CollectionOfBitmaps1.txt;CollectionOfBitmaps2.txt;;A developer is implementing an image gallery that displays multiple high-resolution photos. They should store Bitmap objects in memory.;;;;;;;;;;;;
CollectionOfViews;Memory;Yes;;;✅;;;;;;;;;The collection of views is a resource intensive process in Android applications and should be avoided;;Do not store views in collections;*.java, *.kt;Warning;CollectionOfViews1.txt;CollectionOfViews2.txt;;A developer is creating a custom ViewGroup that needs to manage multiple child views and to track them across all the application, that has multive activities;;;;;;;;;;;;
StaticBitmap;Memory;Yes;;;✅;✅;;;;;;;✅;Bitmaps are heavy objects and should be dealt with proper case otherwise it can lead to memory leaks.;;"Do not store bitmaps in static fields; use caching mechanisms like LruCache instead.";*.java, *.kt;Warning;StaticBitmap1.txt;StaticBitmap2.txt;;A developer is implementing an app that displays a company logo throughout different activities, manipulated via a Bitmap object;;;;;;;;;;;;
StaticContext;Memory;Yes;;;✅;✅;;;;;;;✅;In Android applications, declaring field of type Context leads to memory leak as it is never collected by garbage collector of JVM;;In Android applications, declaring field of type Context leads to memory leak as it is never colllected by garbage collector of JVM;*.java, *.kt;Warning;StaticContext1.txt;StaticContext2.txt;;A developer wants easy access to application resources from any class;;;;;;;;;;;;
StaticView;Memory;Yes;;;✅;✅;;;;;;;✅;Holding static reference of any view type object is a resource (memory) intensive process;;Avoid keeping static references to View objects to prevent memory leaks.;*.java, *.kt;Warning;StaticView1.txt;StaticView2.txt;;A developer is implementing a button that appears in multiple activities and wants to avoid recreating it;;;;;;;;;;;;
StaticFieldLeak;Memory;No;;;;✅;;;;;;;✅;A static field will leak contexts. Non-static inner classes have an implicit reference to their outer class. If that outer class is for example a Fragment or Activity, then this reference means that the long-running handler/loader/task will hold a reference to the activity which prevents it from getting garbage collected. Similarly, direct field references to activities and fragments from these longer running instances can cause leaks. ViewModel classes should never point to Views or non-application Contexts.;https://googlesamples.github.io/android-custom-lint-rules/checks/StaticFieldLeak.md.html;Avoid static references to Activities, Fragments, and Views. If needed, use WeakReference.;*.java, *.kt;Warning;StaticFieldLeak1.txt;StaticFieldLeak2.txt;;A developer is implementing a background task to download and process data in an Android activity ;;;;;;;;;;;;
UselessStringValueOf;;No;;;;;✅;;;;;;;"No need to call String.valueOf to append to a string; just use the valueOf() argument directly.";https://pmd.github.io/pmd/pmd_rules_java_performance.html#uselessstringvalueof;Just use the valueOf() argument directly to concatenate Strings;*.java, *.kt;Warning;UselessStringValueOf1.txt;UselessStringValueOf2.txt;;A developer is implementing a text formatting utility that builds custom strings by concatening string literals with numbers.;;;;;;;;;;;;
AppendCharacterWithChar;Runtime;No;;;;;✅;;;;;;;Avoid concatenating characters as strings in StringBuffer/StringBuilder.append methods.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#appendcharacterwithchar;"oid concatenating characters using StringBuffer.append() or StringBuilder.append() with characters. use instead: StringBuffer sb = new StringBuffer();sb.append('a');";*.java, *.kt;Warning;AppendCharacterWithChar1.txt;AppendCharacterWithChar2.txt;;A developer is implementing a text formatting utility that builds custom strings character by character. They create a StringBuilder to construct the output and to append individual characters.;;;;;;;;;;;;
AvoidArrayLoops;Runtime;No;;;;;✅;;;;;;;Instead of manually copying data between two arrays, use the more efficient Arrays.copyOf or System.arraycopy method instead.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidarrayloops;Use System.arraycopy() or Arrays.copyOf() instead of looping through arrays.;*.java, *.kt;Warning;AvoidArrayLoops1.txt;AvoidArrayLoops2.txt;;A developer is creating an image processing feature that needs to make a copy of pixel data from one array to another. ;;;;;;;;;;;;
AvoidCalendarDateCreation;Runtime;No;;;;;✅;;;;;;;java.util.Calendar is a heavyweight object and expensive to create. It should only be used, if calendar calculations are needed.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidcalendardatecreation;Use new Date(), Java 8+ java.time.LocalDateTime.now() or ZonedDateTime.now().;*.java, *.kt;Warning;AvoidCalendarDateCreation1.txt;AvoidCalendarDateCreation2.txt;;A developer is building a scheduling app that frequently needs to check if events fall on specific days. ;;;;;;;;;;;;
AvoidFileStream;Memory;No;;;;;✅;;;;;;;The FileInputStream and FileOutputStream classes contains a finalizer method which will cause garbage collection pauses. See JDK-8080225 for details. The FileReader and FileWriter constructors instantiate FileInputStream and FileOutputStream, again causing garbage collection issues while finalizer methods are called. Use Files.newInputStream(Paths.get(fileName)) instead of new FileInputStream(fileName). Use Files.newOutputStream(Paths.get(fileName)) instead of new FileOutputStream(fileName). Use Files.newBufferedReader(Paths.get(fileName)) instead of new FileReader(fileName). Use Files.newBufferedWriter(Paths.get(fileName)) instead of new FileWriter(fileName). Please note, that the java.nio API does not throw a FileNotFoundException anymore, instead it throws a NoSuchFileException. If your code dealt explicitly with a FileNotFoundException, then this needs to be adjusted. Both exceptions are subclasses of IOException, so catching that one covers both.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Use Files.newInputStream(Paths.get(fileName)) instead of new FileInputStream(fileName). Use Files.newOutputStream(Paths.get(fileName)) instead of new FileOutputStream(fileName). Use Files.newBufferedReader(Paths.get(fileName)) instead of new FileReader(fileName). Use Files.newBufferedWriter(Paths.get(fileName)) instead of new FileWriter(fileName). ;*.java, *.kt;Warning;AvoidFileStream1.txt;AvoidFileStream2.txt;;A developer needs to implement a log file reader that processes application logs;;;;;;;;;;;;
AvoidInstantiatingObjectsInLoops;Runtime;No;;;;;✅;;;;;;;Don’t create instances of already existing BigInteger (BigInteger.ZERO, BigInteger.ONE), for Java 1.5 onwards, BigInteger.TEN and BigDecimal (BigDecimal.ZERO, BigDecimal.ONE, BigDecimal.TEN) and for Java 9 onwards BigInteger.TWO.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Avoid creating new objects inside loops if they can be reused outside the loop.;*.java, *.kt;Warning;AvoidInstantiatingObjectsInLoops1.txt;AvoidInstantiatingObjectsInLoops2.txt;;A developer is processing a list of user transactions in a loop. For each transaction, they need to use a DateFormatter object to format the transaction date;;;;;;;;;;;;
BigIntegerInstantiation;Memory;No;;;;;✅;;;;;;;;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Use existing BigInteger constants (BigInteger.ZERO, BigInteger.ONE, etc.) instead of instantiating new BigInteger objects.;*.java, *.kt;Warning;BigIntegerInstantiation1.txt;BigIntegerInstantiation2.txt;;A developer is implementing a calculator feature that works with precise decimal values. They need to use BigInteger values;;;;;;;;;;;;
ConsecutiveAppendsShouldReuse;Runtime;No;;;;;✅;;;;;;;Consecutive calls to StringBuffer/StringBuilder .append should be chained, reusing the target object. This can improve the performance by producing a smaller bytecode, reducing overhead and improving inlining.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Chain consecutive StringBuilder.append() or StringBuffer.append() calls to reduce bytecode size and improve performance.;*.java, *.kt;Warning;ConsecutiveAppendsShouldReuse1.txt;ConsecutiveAppendsShouldReuse2.txt;;A developer is building a string construction utility that generates complex formatted text from several class fields.;;;;;;;;;;;;
ConsecutiveLiteralAppends;Runtime;No;;;;;✅;;;;;;;Consecutively calling StringBuffer/StringBuilder.append(…) with literals should be avoided.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid appending literals consecutively in StringBuilder. Instead, append once or use string concatenation if necessary.;*.java, *.kt;Warning;ConsecutiveLiteralAppends1.txt;ConsecutiveLiteralAppends2.txt;;A developer is creating an email template generator and needs to build a string using string literals.;;;;;;;;;;;;
InefficientEmptyStringCheck;Runtime;No;;;;;✅;;;;;;;String.trim().length() == 0 (or String.trim().isEmpty() for the same reason) is an inefficient way to check if a String is really blank;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html; Consider creating a static function that loops through a string, checking Character.isWhitespace() on each character and returning false if a non-whitespace character is found. Or using Apache’s StringUtils#isBlank (in commons-lang), Spring’s StringUtils#hasText (in the Spring framework) or Google’s CharMatcher#whitespace (in Guava) ;*.java, *.kt;Warning;InefficientEmptyStringCheck1.txt;InefficientEmptyStringCheck2.txt;;A developer is validating user input in a form. They check if a text field is empty after trimming by using inputText.trim().length() == 0, which creates an unnecessary intermediate String object, instead of using the more efficient inputText.isEmpty() or checking the length before trimming.;;;;;;;;;;;;
InefficientStringBuffering;Runtime;No;;;;;✅;;;;;;;Avoid concatenating non-literals in a StringBuffer constructor or append() since intermediate buffers will need to be be created and destroyed by the JVM.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid concatenating non-literals in a StringBuffer constructor or append() since intermediate buffers will need to be be created and destroyed by the JVM.;*.java, *.kt;Warning;InefficientStringBuffering1.txt;InefficientStringBuffering2.txt;;A developer is building a dynamic query generator for a database. They need to create a StringBuilder that contains a select statement to be performed over a table whose name is contained on a class field;;;;;;;;;;;;
InsufficientStringBufferDeclaration;Runtime;No;;;;;✅;;;;;;;Failing to pre-size a StringBuffer or StringBuilder properly could cause it to re-size many times during runtime.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Pre-size the StringBuffer or StringBuilder when the expected size is known.;*.java, *.kt;Warning;InsufficientStringBufferDeclaration1.txt;InsufficientStringBufferDeclaration2.txt;;A developer is implementing a log formatting utility that concatenates various pieces of information. They need to create a StringBuffer and then append multiple string elements including timestamps, log levels, class names, and lengthy message content.;;;;;;;;;;;;
OptimizableToArrayCall;Runtime;No;;;;;✅;;;;;;;Calls to a collection’s toArray(E[]) method should specify a target array of zero size. This allows the JVM to optimize the memory allocation and copying as much as possible.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;When using toArray(), specify a zero-length array as an argument to allow for optimized memory allocation.;*.java, *.kt;Warning;OptimizableToArrayCall1.txt;OptimizableToArrayCall2.txt;;A developer is implementing a feature to convert a collection of user preferences to an array for processing. It is required to use the toArray() method on an ArrayList;;;;;;;;;;;;
RedundantFieldInitializer;Runtime;No;;;;;✅;;;;;;;Java will initialize fields with known default values so any explicit initialization of those same defaults is redundant and results in a larger class file (approximately three additional bytecode instructions per field).;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Remove redundant field initializations where default values are already provided by Java.;*.java, *.kt;Warning;RedundantFieldInitializer1.txt;RedundantFieldInitializer2.txt;;A developer is creating a data model class with dozens of fields of primitive  types to store user profile information;;;;;;;;;;;;
StringInstantiation;Runtime;No;;;;;✅;;;;;;;"Avoid instantiating String objects; this is usually unnecessary since they are immutable and can be safely shared.";https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;"Avoid instantiating String objects; this is usually unnecessary since they are immutable and canbe safely shared.";*.java, *.kt;Warning;StringInstantiation1.txt;StringInstantiation2.txt;;A developer is implementing a text processing utility that needs to work with string constants.;;;;;;;;;;;;
StringToString;Runtime;No;;;;;✅;;;;;;;"Avoid calling toString() on objects already known to be string instances; this is unnecessary.";https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid instantiating new String objects when not necessary. Use string literals directly.;*.java, *.kt;Warning;StringToString1.txt;StringToString2.txt;;A developer is building a string concatenation utility that combines various data types received as input. Namely, some of the inputs are Strings;;;;;;;;;;;;
TooFewBranchesForSwitch;Runtime;No;;;;;✅;;;;;;;Switch statements are intended to be used to support complex branching behaviour. Using a switch for only a few cases is ill-advised, since switches are not as easy to understand as if-else statements. In these cases use the if-else statement to increase code readability.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;If a switch statement has too few cases, consider using an if-else statement for clarity and performance.;*.java, *.kt;Warning;TooFewBranchesForSwitch1.txt;TooFewBranchesForSwitch2.txt;;A developer is implementing a feature to handle different user account types. They need to handle logic to deal with only two cases;;;;;;;;;;;;
UseArrayListInsteadOfVector;Runtime;No;;;;;✅;;;;;;;ArrayList is a much better Collection implementation than Vector if thread-safe operation is not required.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html; Use ArrayList instead of Vector for non-thread-safe collection needs as ArrayList is more efficient.;*.java, *.kt;Warning;UseArrayListInsteadOfVector1.txt;UseArrayListInsteadOfVector2.txt;;A developer is implementing a collection to store user notification objects in a single-threaded environment. ;;;;;;;;;;;;
UseArraysAsList;Runtime;No;;;;;✅;;;;;;;The java.util.Arrays class has a asList() method that should be used when you want to create a new List from an array of objects. It is faster than executing a loop to copy all the elements of the array one by one.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use Arrays.asList() to convert an array to a list, which is faster than manually iterating over the array.;*.java, *.kt;Warning;UseArraysAsList1.txt;UseArraysAsList2.txt;;A developer is converting an array of search results to a List for further processing.;;;;;;;;;;;;
UseIndexOfChar;Runtime;No;;;;;✅;;;;;;;"Use String.indexOf(char) when checking for the index of a single character; it executes faster.";https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use String.indexOf(char) instead of manually checking the index of a character.;*.java, *.kt;Warning;UseIndexOfChar1.txt;UseIndexOfChar2.txt;;A developer is implementing a text parser that needs to find the position of specific characters in a string. ;;;;;;;;;;;;
UseIOStreamsWithApacheCommonsFileItem;Runtime;No;;;;;✅;;;;;;;Problem: Use of FileItem.get() and FileItem.getString() could exhaust memory since they load the entire file into memory.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid using FileItem.get() and FileItem.getString() for large files. Use IO streams for better memory efficiency.;*.java, *.kt;Warning;UseIOStreamsWithApacheCommonsFileItem1.txt;UseIOStreamsWithApacheCommonsFileItem2.txt;;A developer is implementing a file upload feature using Apache Commons FileUpload. ;;;;;;;;;;;;
UseStringBufferForStringAppends;Runtime;No;;;;;✅;;;;;;;The use of the ‘+=’ operator for appending strings causes the JVM to create and use an internal StringBuffer. If a non-trivial number of these concatenations are being used then the explicit use of a StringBuilder or threadsafe StringBuffer is recommended to avoid this.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use StringBuffer or StringBuilder explicitly for string concatenations in loops to avoid creating too many intermediate objects.;*.java, *.kt;Warning;UseStringBufferForStringAppends1.txt;UseStringBufferForStringAppends2.txt;;A developer is implementing a logging utility that needs to concatenate multiple pieces of information into a single log message. They need to do it on a loop;;;;;;;;;;;;
UseStringBufferLength;Runtime;No;;;;;✅;;;;;;;"Use StringBuffer.length() to determine StringBuffer length rather than using StringBuffer.toString().equals("""") or StringBuffer.toString().length() == ";https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;"Use StringBuffer.length() to determine StringBuffer length rather than using StringBuffer.toString().equals("""") or StringBuffer.toString().length() ==";*.java, *.kt;Warning;UseStringBufferLength1.txt;UseStringBufferLength2.txt;;A developer is creating a text input validation function that needs to check if a user's input contained in a StringBuffer is empty ;;;;;;;;;;;;
AddEmptyString;Runtime;No;;;;;✅;;;;;;;The conversion of literals to strings by concatenating them with empty strings is inefficient. It is much better to use one of the type-specific toString() methods instead or String.valueOf().;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;"String s = """" + 123;                / inefficient String  /\n t = Integer.toString(456);   // preferred approach";*.java, *.kt;Warning;AddEmptyString1.txt;AddEmptyString2.txt;;A developer is formatting numeric data for display. They need to convert each one of  several integers and doubles contained in class fields to a string;;;;;;;;;;;;
UselessParent;Runtime;Yes;;;;✅;;;;;;;✅;A layout with children that has no siblings, is not a scrollview or a root layout, and does not have a background, can be removed and have its children moved directly into the parent for a flatter and more efficient layout hierarchy.;https://googlesamples.github.io/android-custom-lint-rules/checks/UselessParent.md.html;A layout that has no siblings, is not a ScrollView or root layout, and has no background can be removed. Its children can be directly placed into the parent layout for a more efficient and flatter hierarchy.;*.xml;Warning;UselessParent1.txt;UselessParent2.txt;;A developer is creating a custom list item layout for a RecyclerView;;;;;;;;;;;;
UselessLeaf;Runtime;Yes;;;;✅;;;;;;;✅;A layout that has no children or no background can often be removed (since it is invisible) for a flatter and more efficient layout hierarchy.;https://googlesamples.github.io/android-custom-lint-rules/checks/UselessLeaf.md.html; A layout with no children or background can be removed to simplify the view hierarchy and improve performance.;*.xml;Warning;UselessLeaf1.txt;UselessLeaf2.txt;;A developer is refactoring a complex layout and that used several FrameLayouts that was previously used as a container.;;;;;;;;;;;;
AnimatorKeep;Runtime;Yes;;;;✅;;;;;;;✅;When you use property animators, properties can be accessed via reflection. Those methods should be annotated with @Keep to ensure that during release builds, the methods are not potentially treated as unused and removed, or treated as internal only and get renamed to something shorter. This check will also flag other potential reflection problems it encounters, such as a missing property, wrong argument types, etc.;https://googlesamples.github.io/android-custom-lint-rules/checks/AnimatorKeep.md.html;When using property animators, annotate the methods with @Keep to prevent them from being removed or renamed during release builds. This ensures that reflection-based access to properties works correctly.;*.java, *.kt;Warning;AnimatorKeep1.txt;AnimatorKeep2.txt;;A developer is implementing custom property animations for a view. They need to create methods to get and set custom properties;;;;;;;;;;;;
ObsoleteSdkInt;Runtime;Yes;;;;✅;;;;;;;✅;This check flags version checks that are not necessary, because the minSdkVersion (or surrounding known API level) is already at least as high as the version checked for. Similarly, it also looks for resources in -vNN folders, such as values-v14 where the version qualifier is less than or equal to the minSdkVersion, where the contents should be merged into the best folder.;https://googlesamples.github.io/android-custom-lint-rules/checks/ObsoleteSdkInt.md.html;Remove unnecessary SDK version checks when the minSdkVersion is already sufficient. If version-specific resources are available (e.g., values-v14), merge them into the appropriate folders based on the minSdkVersion.;*.java, *.kt;Warning;ObsoleteSdkInt1.txt;ObsoleteSdkInt2.txt;;A developer is updating an older app to target a newer Android version adn they need to avoid cases where the sdk version is lower than a certain deprecated version ;;;;;;;;;;;;
DuplicateDivider;Runtime;Yes;;;;✅;;;;;;;✅;Older versions of the RecyclerView library did not include a divider decorator, but one was provided as a sample in the support demos. This divider class has been widely copy/pasted into various projects. In recent versions of the support library, the divider decorator is now included, so you can replace custom copies with the “built-in” version, android.support.v7.widget.DividerItemDecoration.;https://googlesamples.github.io/android-custom-lint-rules/checks/DuplicateDivider.md.html;Replace custom divider decorators with the built-in DividerItemDecoration from the RecyclerView library, as it provides an optimized implementation for adding dividers.;*.java, *.kt;Warning;DuplicateDivider1.txt;DuplicateDivider2.txt;;A developer is implementing a list with dividers between items using RecyclerView.;;;;;;;;;;;;
UseValueOf;Runtime;Yes;;;;✅;✅;;;;;;✅;You should not call the constructor for wrapper classes directly, such asnew Integer(42). Instead, call the valueOf factory method, such as Integer.valueOf(42). This will typically use less memory because common integers such as 0 and 1 will share a single instance.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseValueOf.md.html;You should not call the constructor for wrapper classes directly, such asnew Integer(42). Instead, call the valueOf factory method, such as Integer.valueOf(42). This will typically use less memory because common integers such as 0 and 1 will share a single instance.;*.java, *.kt;Warning;UseValueOf1.txt;UseValueOf2.txt;;A developer is parsing user input and converting it to Integer objects.;;;;;;;;;;;;
UnpackedNativeCode;Runtime;Yes;;;;✅;;;;;;;✅;"You can enable it by adding --enable UnpackedNativeCode This app loads native libraries using System.loadLibrary(). Consider adding android:extractNativeLibs=""false"" to the <application> tag in AndroidManifest.xml. Starting with Android 6.0, this will make installation faster, the app will take up less space on the device and updates will have smaller download sizes.";https://googlesamples.github.io/android-custom-lint-rules/checks/UnpackedNativeCode.md.html;"If you're loading native libraries via System.loadLibrary(), consider setting android:extractNativeLibs=""false"" in the AndroidManifest.xml to make installations faster, reduce app size, and make updates smaller.";*.xml;Warning;UnpackedNativeCode1.txt;UnpackedNativeCode2.txt;;A developer has to  integrate a native library into an Android app. the library should be importerd using System.loadLibrary() ;;;;;;;;;;;;
UnusedResources;Runtime;Yes;;;;✅;;;;;;;✅;Unused resources make applications larger and slow down builds. The unused resource check can ignore tests. If you want to include resources that are only referenced from tests, consider packaging them in a test source set instead. You can include test sources in the unused resource check by setting the system property lint.unused-resources.include-tests =true, and to exclude them (usually for performance reasons), use lint.unused-resources.exclude-tests =true. ,;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedResources.md.html;emove unused resources from your project to reduce its size and speed up builds. Consider packaging resources used only in tests separately in a test source set. Example: Use lint.unused-resources.exclude-tests=true to exclude test resources from the check.;*.java, *.kt, *.xml;Warning;UnusedResources1.txt;UnusedResources2.txt;;A developer is cleaning up their Android application before release. They have accumulated numerous layout files, drawables, and string resources during development and prototyping phases.  These unused resources remain in the project, increasing the APK size and slowing down build times.;;;;;;;;;;;;
UnusedIds;Runtime;Yes;;;;✅;;;;;;;✅;This resource id definition appears not to be needed since it is not referenced from anywhere. Having id definitions, even if unused, is not necessarily a bad idea since they make working on layouts and menus easier, so there is not a strong reason to delete these. The unused resource check can ignore tests. If you want to include resources that are only referenced from tests, consider packaging them in a test source set instead. You can include test sources in the unused resource check by setting the system property lint.unused-resources.include-tests =true, and to exclude them (usually for performance reasons), use lint.unused-resources.exclude-tests =true.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedIds.md.html;Remove unused resource IDs, but keep in mind that they can help in the future during development. However, if you're sure they're not needed, you can delete them for a cleaner codebase.;*.java, *.kt, *.xml;Warning;UnusedIds1.txt;UnusedIds2.txt;;A developer is working on a complex UI layout where they defined multiple view IDs in anticipation of needing them for event handlers. As the development progressed, some of these views were removed or redesigned, leaving their ID definitions in the layout files without any references to them in the code. ;;;;;;;;;;;;
InefficientWeight;Runtime;Yes;;;;✅;;;;;;;✅;When only a single widget in a LinearLayout defines a weight, it is more efficient to assign a width/height of 0dp to it since it will absorb all the remaining space anyway. With a declared width/height of 0dp it does not have to measure its own size first.;https://googlesamples.github.io/android-custom-lint-rules/checks/InefficientWeight.md.html;If only one widget in a LinearLayout has a weight, you should assign it a width or height of 0dp to make layout calculations more efficient.;*.xml;Warning;InefficientWeight1.txt;InefficientWeight2.txt;;A developer is creating a layout where a button needs to take up all remaining space in a horizontal LinearLayout after a fixed-width TextView.;;;;;;;;;;;;
DisableBaselineAlignment;Runtime;Yes;;;;✅;;;;;;;✅;When a LinearLayout is used to distribute the space proportionally between nested layouts, the baseline alignment property should be turned off to make the layout computation faster.;https://googlesamples.github.io/android-custom-lint-rules/checks/DisableBaselineAlignment.md.html;When using LinearLayout to distribute space, turn off the baseline alignment property to speed up layout computation.;*.xml;Warning;DisableBaselineAlignment1.txt;DisableBaselineAlignment2.txt;;A developer is implementing a complex screen layout using nested LinearLayouts with weights to distribute space proportionally. ;;;;;;;;;;;;
MergeRootFrame;Runtime;Yes;;;;✅;;;;;;;✅;If a <framelayout> is the root of a layout and does not provide background or padding etc, it can often be replaced with a <merge> tag which is slightly more efficient. Note that this depends on context, so make sure you understand how the <merge> tag works before proceeding.;https://googlesamples.github.io/android-custom-lint-rules/checks/MergeRootFrame.md.html;If a FrameLayout is the root layout and does not provide background, padding, etc., it can be replaced with a merge tag to improve efficiency.;*.xml;Warning;MergeRootFrame1.txt;MergeRootFrame2.txt;;A developer is creating a reusable layout component. This layout doesn't provide any background, padding, or other styling. ;;;;;;;;;;;;
DevModeObsolete;Runtime;Yes;;;;✅;;;;;;;✅;In the past, our documentation recommended creating a dev product flavor with has a minSdkVersion of 21, in order to enable multidexing to speed up builds significantly during development. That workaround is no longer necessary, and it has some serious downsides, such as breaking API access checking (since the true minSdkVersion is no longer known). In recent versions of the IDE and the Gradle plugin, the IDE automatically passes the API level of the connected device used for deployment, and if that device is at least API 21, then multidexing is automatically turned on, meaning that you get the same speed benefits as the dev product flavor but without the downsides.;https://googlesamples.github.io/android-custom-lint-rules/checks/DevModeObsolete.md.html;The workaround of creating a dev product flavor with minSdkVersion 21 to enable multidexing is no longer necessary. Multidexing is now handled automatically if the connected device runs API 21 or higher. Simply ensure you're using the appropriate Gradle configuration without the dev flavor workaround.;*.gradle;Warning;DevModeObsolete1.txt;DevModeObsolete2.txt;;"A developer is trying to speed up development builds by creating a separate ""dev"" product flavor";;;;;;;;;;;;
