Projissue;;;;;;Line;Col;Manual Classif;Reason;LLM classic;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;UnusedResources; Performance; Warning; Lint;The resource `R.color.purple_200` appears to be unused;/Users/rar9993/AndroidStudioProjects/GalleryApp/app/src/main/res/values/colors.xml;3; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTWeather;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTWeather/app/src/main/java/com/sanad/gpt4o/gptweather/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTWeather;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTWeather/app/src/main/java/com/sanad/gpt4o/gptweather/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTWeather;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptweather/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTWeather;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `fetchSelectedLocationWeather` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTWeather/app/src/main/java/com/sanad/gpt4o/gptweather/MainActivity.java;59; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SlowForLoop; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java; None; None;FALSE;Fixed small bounds, index access;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;LeakingInnerClass; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java; None; None;TRUE;GestureListener can leak context;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java; None; None;FALSE;Method override;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;60;33;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;94;28;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;119;28;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;143;28;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;147;31;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;173;28;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;177;31;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;Overdraw; Performance; Warning; Lint;Possible overdraw: Root element paints background `#faf8ef` with a theme that also paints a background (inferred theme is `@style/Theme.GPTGame2048`);/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/res/layout/activity_main.xml;9; None;TRUE;Background on activity ;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveRight` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;31; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `checkGameOver` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;32; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveLeft` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;37; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `checkGameOver` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;38; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveUp` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;43; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `checkGameOver` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;44; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveDown` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;49; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `checkGameOver` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;50; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTGame2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` member of class `GestureListener` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java;12; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DataTransmissionWithoutCompression; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java; None; None;FALSE;No Http communication involved;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;UnclosedCloseable; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java; None; None;FALSE;Try with resources;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DataTransmissionWithoutCompression; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java; None; None;FALSE;No Http communication involved;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DataTransmissionWithoutCompression; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteListActivity.java; None; None;FALSE;No Http communication involved;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DataTransmissionWithoutCompression; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteAdapter.java; None; None;FALSE;No Http communication involved;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteAdapter.java; None; None;FALSE;;FALSE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;AvoidFileStream; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java;113;40;TRUE;True, despite the fact that this issue is less relevant on android;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;AvoidFileStream; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java;120;49;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;AvoidFileStream; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java;32;57;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes/app/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java;35;45;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteDetailActivity.java; None; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gpttodonotes/MainActivity.java; None; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gpttodonotes/NoteListActivity.java; None; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;DataTransmissionWithoutCompression; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/FileUtils.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;AvoidFileStream; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/FileUtils.java;50;23;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;AvoidFileStream; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/FileUtils.java;80;23;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/FileUtils.java;120;33;FALSE;Unavoidable;FALSE;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;LogConditional; Performance; Warning; Lint; The log call Log.i(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/DriveServiceHelper.kt;83; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;LogConditional; Performance; Warning; Lint; The log call Log.i(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/FileUtils.java;52; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;LogConditional; Performance; Warning; Lint; The log call Log.d(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/todonotes/MainActivity.kt;145; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ToDoNotes;UnusedIds; Performance; Warning; Lint; The resource `R.id.toolbar_edit` appears to be unused;/Users/rar9993/AndroidStudioProjects/ToDoNotes/app/src/main/res/layout/activity_note_edit.xml;15; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;InefficientWeight; Performance; Warning; Lint;Use a `layout_height` of `0dp` instead of `wrap_content` for better performance;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/res/layout/activity_main.xml;18; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `display` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;29; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `display` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;33; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint;Access to `private` field `val1` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;34; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `CURRENT_OP` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;35; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `calculate` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;38; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint;Access to `private` field `val1` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;45; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `CURRENT_OP` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;46; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `display` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;47; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint;Access to `private` field `val1` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;52; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `display` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;53; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `display` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator/app/src/main/java/com/sanad/gpt4o/gptscientificcalculator/MainActivity.java;57; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java; None; None;TRUE;There are a few;TRUE;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;SlowForLoop; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java; None; None;FALSE;Requires index;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;LogConditional; Performance; Warning; Lint; The log call Log.d(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;317; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;LogConditional; Performance; Warning; Lint; The log call Log.d(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;324; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;UnusedResources; Performance; Warning; Lint;The resource `R.color.purple_200` appears to be unused;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/res/values/colors.xml;3; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;UnusedResources; Performance; Warning; Lint;The resource `R.color.teal_200` appears to be unused;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/res/values/colors.xml;6; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;UnusedResources; Performance; Warning; Lint;The resource `R.color.teal_700` appears to be unused;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/res/values/colors.xml;7; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;UnusedResources; Performance; Warning; Lint; The resource `R.color.black` appears to be unused;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/res/values/colors.xml;8; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/WeatherApp;UnusedResources; Performance; Warning; Lint; The resource `R.color.white` appears to be unused;/Users/rar9993/AndroidStudioProjects/WeatherApp/app/src/main/res/values/colors.xml;9; None;TRUE;;;;
